Wavelength (nm),ureaNoCyt,ureaM0,ureaM1,ureaM2,ureaM3,ureaM4,ureaM5,ureaM6,ureaM7,ureaM8,ureaM9,ureaM10,NATA1,kpi-water2
470,-0.076235,0.026373,0.02852,0.33061,0.450377,0.215755,0.387061,0.149141,0.143661,0.183645,0.228013,0.323559,0.19454,-0.023487
469,-0.075208,0.02856,0.029149,0.330613,0.449417,0.216794,0.388257,0.15081,0.144859,0.184061,0.228488,0.324517,0.194338,-0.022933
468,-0.07559,0.029454,0.029872,0.331575,0.451048,0.217659,0.38833,0.151355,0.145902,0.184879,0.229203,0.325312,0.194126,-0.024057
467,-0.075446,0.031901,0.031024,0.332548,0.449547,0.21928,0.390195,0.153054,0.147092,0.186943,0.230745,0.326429,0.194612,-0.023502
466,-0.075746,0.033439,0.03203,0.333317,0.451971,0.220481,0.391438,0.154197,0.147867,0.186408,0.232049,0.328857,0.193868,-0.023364
465,-0.076111,0.035166,0.032726,0.33406,0.455193,0.220835,0.39149,0.154356,0.149208,0.187688,0.233061,0.330918,0.19355,-0.024132
464,-0.075977,0.03736,0.033533,0.334824,0.454396,0.221477,0.393246,0.15578,0.150523,0.188289,0.234793,0.332302,0.192528,-0.0239
463,-0.07619,0.039711,0.034941,0.336268,0.458052,0.223715,0.396695,0.157577,0.152724,0.190188,0.236114,0.334329,0.193243,-0.023872
462,-0.076544,0.041987,0.036105,0.337333,0.460389,0.225387,0.397968,0.159559,0.153818,0.192598,0.237271,0.336071,0.193231,-0.024096
461,-0.076023,0.044875,0.038016,0.338947,0.462537,0.226846,0.399221,0.161334,0.157101,0.192995,0.240652,0.340191,0.192725,-0.025684
460,-0.07567,0.047571,0.039588,0.341715,0.464863,0.22849,0.398724,0.163449,0.158829,0.196945,0.241922,0.341549,0.193337,-0.024893
459,-0.075889,0.050517,0.041477,0.343428,0.464553,0.231134,0.400417,0.166062,0.161268,0.199506,0.244213,0.3443,0.194125,-0.025156
458,-0.075851,0.053682,0.043342,0.345143,0.467896,0.234001,0.405199,0.16918,0.164182,0.201482,0.246795,0.346777,0.193533,-0.025904
457,-0.076491,0.055878,0.045297,0.348001,0.469493,0.236557,0.407378,0.171734,0.166504,0.203398,0.249738,0.350138,0.193565,-0.025271
456,-0.075751,0.059093,0.047038,0.350089,0.474427,0.239239,0.409244,0.1738,0.170014,0.206376,0.251925,0.353364,0.193575,-0.025596
455,-0.076513,0.061618,0.049487,0.352693,0.475793,0.242422,0.413065,0.177368,0.17321,0.209491,0.255368,0.357978,0.193914,-0.025747
454,-0.076491,0.064855,0.051773,0.355859,0.478182,0.245606,0.415055,0.180758,0.176426,0.2125,0.258603,0.362063,0.193255,-0.024796
453,-0.075954,0.068128,0.054913,0.356217,0.483268,0.248818,0.418998,0.184425,0.180485,0.216526,0.263338,0.367552,0.192909,-0.025511
452,-0.07588,0.071285,0.057392,0.361475,0.486461,0.253309,0.422179,0.188489,0.185342,0.22058,0.266688,0.370669,0.192602,-0.025976
451,-0.076455,0.073998,0.060355,0.362756,0.486969,0.256649,0.425791,0.191588,0.188169,0.223857,0.270145,0.376538,0.193478,-0.025795
450,-0.076695,0.077108,0.063314,0.366651,0.491353,0.260839,0.430685,0.196087,0.193473,0.228563,0.274461,0.382038,0.194089,-0.026325
449,-0.076439,0.080541,0.066604,0.369131,0.495969,0.264634,0.434613,0.200352,0.198416,0.232785,0.279315,0.387489,0.193208,-0.027128
448,-0.077034,0.083383,0.069736,0.372688,0.499752,0.268354,0.438098,0.20433,0.202154,0.237169,0.283406,0.393087,0.193606,-0.02661
447,-0.076466,0.087207,0.073059,0.37691,0.50585,0.273614,0.440821,0.208844,0.207746,0.241991,0.288807,0.398096,0.193376,-0.026362
446,-0.076401,0.091083,0.076621,0.380839,0.511476,0.278277,0.446835,0.214355,0.212502,0.245491,0.293122,0.403716,0.194234,-0.02712
445,-0.076147,0.094908,0.079388,0.383797,0.510176,0.282723,0.450483,0.218074,0.216074,0.249224,0.296448,0.408223,0.194655,-0.026606
444,-0.077062,0.098771,0.083246,0.388882,0.514796,0.287853,0.454644,0.22312,0.221542,0.252991,0.300885,0.414223,0.194282,-0.026925
443,-0.076279,0.104266,0.086505,0.393158,0.519867,0.292744,0.460371,0.227533,0.225848,0.25582,0.305057,0.419568,0.194028,-0.02598
442,-0.077109,0.108357,0.090492,0.397063,0.523139,0.297604,0.463252,0.232323,0.231532,0.26034,0.309964,0.424635,0.19465,-0.027902
441,-0.076609,0.114715,0.094289,0.4021,0.530144,0.303394,0.466347,0.237969,0.236037,0.265424,0.313435,0.429483,0.194721,-0.028619
440,-0.076672,0.120358,0.098157,0.407474,0.534745,0.307879,0.471824,0.243161,0.240943,0.268163,0.31731,0.433846,0.195338,-0.028077
439,-0.076366,0.127427,0.102386,0.413269,0.536613,0.314177,0.475098,0.249192,0.246643,0.27296,0.321699,0.43877,0.195838,-0.028115
438,-0.076581,0.134522,0.106676,0.419194,0.543089,0.321419,0.479867,0.255396,0.251952,0.276403,0.325477,0.443058,0.196384,-0.027347
437,-0.076591,0.142054,0.111271,0.424143,0.547109,0.327616,0.485596,0.260967,0.257094,0.27953,0.32908,0.448209,0.197013,-0.028497
436,-0.076941,0.150833,0.11681,0.43334,0.552837,0.335476,0.491172,0.268419,0.263943,0.285567,0.334336,0.453518,0.197528,-0.028358
435,-0.076767,0.160419,0.122499,0.440684,0.559554,0.343027,0.49769,0.275661,0.27043,0.290569,0.338322,0.460059,0.198994,-0.030307
434,-0.076118,0.170587,0.127884,0.448552,0.566988,0.350643,0.503205,0.283198,0.277909,0.294512,0.343327,0.465142,0.19863,-0.029561
433,-0.076167,0.183217,0.134588,0.457747,0.57402,0.361015,0.509397,0.292066,0.285765,0.300866,0.350185,0.47266,0.199645,-0.029376
432,-0.076115,0.196639,0.142738,0.467052,0.583214,0.37194,0.518106,0.302771,0.2953,0.307671,0.357249,0.48039,0.200038,-0.029231
431,-0.076852,0.210444,0.151676,0.480134,0.589191,0.384611,0.527357,0.314038,0.306046,0.315151,0.363613,0.490264,0.201025,-0.029519
430,-0.076462,0.228587,0.162013,0.493114,0.602157,0.400481,0.538837,0.328526,0.318423,0.325409,0.373935,0.501515,0.201367,-0.029564
429,-0.078128,0.246567,0.174381,0.510469,0.613103,0.416478,0.554331,0.344866,0.333451,0.336186,0.384758,0.514549,0.204241,-0.028081
428,-0.077449,0.267183,0.187046,0.526915,0.625214,0.435571,0.565888,0.360601,0.34828,0.346714,0.395377,0.52786,0.204544,-0.029385
427,-0.077442,0.294032,0.204206,0.550595,0.645144,0.459922,0.584175,0.384348,0.369366,0.361826,0.410921,0.545695,0.205506,-0.02956
426,-0.078039,0.322379,0.222991,0.575017,0.666783,0.486123,0.601365,0.408338,0.39191,0.379854,0.427569,0.566344,0.206995,-0.030697
425,-0.076834,0.353123,0.242665,0.604405,0.692775,0.514045,0.623251,0.434674,0.416478,0.397052,0.44624,0.586899,0.208897,-0.030398
424,-0.077273,0.389673,0.266967,0.6355,0.716065,0.549431,0.647951,0.467125,0.44654,0.420474,0.467687,0.613053,0.211915,-0.032596
423,-0.07814,0.42792,0.292833,0.669917,0.742533,0.586274,0.677104,0.500579,0.478847,0.444696,0.491822,0.643627,0.214605,-0.031411
